domain,home_url,logo_url,status,error
"plameco-hannover.de","","","UNREADABLE",""
"crocs.com.uy","https://crocs.com.uy","https://f.fcdn.app/assets/commerce/www.crocs.com.uy/8a07_26fe/public/web/img/logo.svg","OK",""
"ebayglobalshipping.com","https://ebayglobalshipping.com","https://www.ebayglobalshipping.com/themes/custom/custom_barrio/app/images/logo-1.svg","OK",""
"aamcoconyersga.com","https://aamcoconyersga.com","https://www.aamcoconyersga.com/images/logo.png","OK",""
"orient-food.sk","https://orient-food.sk","https://cdn.myshoptet.com/usr/www.orient-food.sk/user/logos/sk_logo_2.png","OK",""
"mazdaofamarillo.com","","","UNREADABLE",""
"mazda-autohaus-roessel-birkenau.de","https://mazda-autohaus-roessel-birkenau.de","https://www.assets.mazda-autohaus.de/assets/img/favicons/web-app-manifest-512x512.png","OK",""
"rheine.schule","https://rheine.schule","https://rheine.schule/wp-content/uploads/2017/07/cropped-Logo-Stadt-Rheine-Leben-an-der-Ems-in-Farbe-192x192.jpg","OK",""
"crocs.co.id","https://crocs.co.id","https://www.crocs.co.id/media/weltpixel/multistore/logo/stores/1/flag-uk.png","OK",""
"bbraun.rs","https://bbraun.rs","https://www.bbraun.rs/content/dam/b-braun/master/website-6/en/00_home-and-miscellaneous/logo/bbraun-logo-full.svg","OK",""
"pingusenglish.com.tr","https://pingusenglish.com.tr","https://www.pingusenglish.com.tr/wp-content/uploads/2016/10/logo.png","OK",""
"subaru.jp","https://subaru.jp","https://www.subaru.jp/assets/images/icn_logo.webp","OK",""
"allianz-kuhlemann.de","https://allianz-kuhlemann.de","https://vertretung.allianz.de/content/onemarketing/azde/vthp/agency-stage-image.401111920.image.jpeg","OK",""
"tbwa.co.za","https://tbwa.co.za","https://www.tbwa.co.za/apple-icon-180x180.png","OK",""
"peugeot.sk","https://peugeot.sk","https://www.peugeot.sk/apple-touch-icon-180x180.png","OK",""
"santillana.com.hn","https://santillana.com.hn","https://www.santillana.com.hn/wp-content/uploads/sites/16/2024/10/cropped-1538077230_original-150x150.webp","OK",""
"spitex-wiggertal.ch","https://spitex-wiggertal.ch","https://www.spitex-wiggertal.ch/img/spitex2022/ch.spitex-wiggertal2024/logo_de-hcC7A8010E.svg","OK",""
"strabag-pfs.com","https://strabag-pfs.com","https://www.strabag-pfs.com/site/strabag-company-locale/get/params_E-1629854191/796445/xSTRABAG_PFS_rgb_r12.jpg.pagespeed.ic.YHIzRsHmbY.jpg","OK",""
"autosecuritas-barlin.fr","https://autosecuritas-barlin.fr","https://www.autosecuritas.fr/public/img/showcase/autosecuritas-logo.svg","OK",""
"aamco-councilbluffs.com","https://aamco-councilbluffs.com","https://www.aamco-councilbluffs.com/wp-content/uploads/2018/09/logo.png","OK",""
"meggle-bakery.com","https://meggle-bakery.com","https://cdn.meggle.com/app/themes/meggle/public/images/clover-icon-32.512bfc.png","OK",""
